iter	Passed	Remaining
680	1232	577
681	1234	575
682	1236	573
683	1238	572
684	1240	570
685	1242	568
686	1244	566
687	1245	565
688	1247	563
689	1249	561
690	1251	559
691	1253	557
692	1254	555
693	1256	554
694	1258	552
695	1260	550
696	1262	548
697	1263	546
698	1265	545
699	1267	543
700	1269	541
701	1271	539
702	1273	538
703	1275	536
704	1277	534
705	1279	532
706	1280	530
707	1282	528
708	1284	527
709	1285	525
710	1287	523
711	1289	521
712	1291	519
713	1293	517
714	1294	516
715	1296	514
716	1298	512
717	1300	510
718	1301	508
719	1303	506
720	1304	504
721	1306	503
722	1308	501
723	1310	499
724	1311	497
725	1313	495
726	1315	493
727	1317	492
728	1318	490
729	1320	488
730	1322	486
731	1324	484
732	1325	482
733	1327	481
734	1329	479
735	1331	477
736	1333	475
737	1335	474
738	1337	472
739	1338	470
740	1340	468
741	1342	466
742	1344	465
743	1346	463
744	1349	461
745	1351	460
746	1353	458
747	1355	456
748	1356	454
749	1358	452
750	1360	451
751	1362	449
752	1364	447
753	1366	445
754	1368	443
755	1369	442
756	1371	440
757	1373	438
758	1375	436
759	1376	434
760	1378	432
761	1380	431
762	1381	429
763	1383	427
764	1385	425
765	1386	423
766	1388	421
767	1390	419
768	1391	418
769	1394	416
770	1396	414
771	1398	413
772	1400	411
773	1402	409
774	1403	407
775	1406	405
776	1407	404
777	1409	402
778	1411	400
779	1413	398
780	1415	396
781	1417	395
782	1419	393
783	1421	391
784	1422	389
785	1424	387
786	1426	386
787	1428	384
788	1429	382
789	1431	380
790	1433	378
791	1434	376
792	1436	374
793	1437	373
794	1439	371
795	1440	369
796	1442	367
797	1444	365
798	1446	363
799	1448	362
800	1450	360
801	1452	358
802	1454	356
803	1455	354
804	1456	352
805	1458	351
806	1461	349
807	1462	347
808	1464	345
809	1465	343
810	1467	342
811	1469	340
812	1471	338
813	1473	336
814	1475	334
815	1477	333
816	1478	331
817	1480	329
818	1482	327
819	1484	325
820	1485	323
821	1487	322
822	1489	320
823	1491	318
824	1493	316
825	1495	314
826	1496	313
827	1498	311
828	1500	309
829	1502	307
830	1503	305
831	1505	304
832	1507	302
833	1509	300
834	1511	298
835	1513	296
836	1515	295
837	1517	293
838	1520	291
839	1522	289
840	1524	288
841	1526	286
842	1528	284
843	1530	282
844	1531	281
845	1533	279
846	1535	277
847	1537	275
848	1538	273
849	1540	271
850	1542	270
